d	s	a	m_i
230	5	3262	0	0	0	0	0
231	5	3263	0	0	0	0	0
232	5	3267	0	0	0	0	0
233	5	3268	0	0	0	0	0
234	5	3278	0	0	0	0	0
235	5	3279	0	0	0	0	0
236	5	3296	0	0	0	0	0
237	5	3297	0	0	0	0	0
238	5	3303	0	0	0	0	0
239	5	3304	0	0	0	0	0
240	5	3307	0	0	0	0	0
241	5	3308	0	0	0	0	0
242	5	3326	0	0	0	0	0
243	5	3327	0	0	0	0	0
244	5	3332	0	0	0	0	0
245	5	3333	0	0	0	0	0
246	5	3351	0	0	0	0	0
247	5	3352	0	0	0	0	0
248	5	3373	0	0	0	0	0
249	5	3374	0	0	0	0	0
250	5	3376	0	0	0	0	0
251	5	3379	0	0	0	0	0
252	5	3382	0	0	0	0	0
253	5	3383	0	0	0	0	0
254	5	3386	0	0	0	0	0
255	5	3389	0	0	0	0	0
256	5	3407	0	0	0	0	0
257	5	3409	0	0	0	0	0
258	5	3411	0	0	0	0	0
259	5	3412	0	0	0	0	0
260	5	3416	0	0	0	0	0
261	5	3419	0	0	0	0	0
262	5	3427	0	0	0	0	0
263	5	3428	0	0	0	0	0
264	5	3431	0	0	0	0	0
265	5	3433	0	0	0	0	0
266	5	3447	0	0	0	0	0
267	5	3449	0	0	0	0	0
268	5	3452	0	0	0	0	0
269	5	3453	0	0	0	0	0
270	5	3457	0	0	0	0	0
271	5	3459	0	0	0	0	0
272	5	3471	0	0	0	0	0
273	5	3473	0	0	0	0	0
274	5	3481	0	0	0	0	0
275	5	3483	0	0	0	0	0
276	5	3488	0	0	0	0	0
277	5	3489	0	0	0	0	0
278	5	3491	0	0	0	0	0
279	5	3494	0	0	0	0	0
280	5	3502	0	0	0	0	0
281	5	3503	0	0	0	0	0
282	5	3506	0	0	0	0	0
283	5	3509	0	0	0	0	0
284	5	3512	0	0	0	0	0
285	5	3513	0	0	0	0	0
286	5	3526	0	0	0	0	0
287	5	3529	0	0	0	0	0
288	5	3531	0	0	0	0	0
289	5	3532	0	0	0	0	0
290	5	3548	0	0	0	0	0
291	5	3549	0	0	0	0	0
292	5	3556	0	0	0	0	0
293	5	3557	0	0	0	0	0
294	5	3561	0	0	0	0	0
295	5	3563	0	0	0	0	0
296	5	3567	0	0	0	0	0
297	5	3568	0	0	0	0	0
298	5	3583	0	0	0	0	0
299	5	3584	0	0	0	0	0
300	5	3587	0	0	0	0	0
301	5	3589	0	0	0	0	0
302	5	3592	0	0	0	0	0
303	5	3593	0	0	0	0	0
304	5	3601	0	0	0	0	0
305	5	3604	0	0	0	0	0
306	5	3608	0	0	0	0	0
307	5	3609	0	0	0	0	0
308	5	3621	0	0	0	0	0
309	5	3622	0	0	0	0	0
310	5	3636	0	0	0	0	0
311	5	3639	0	0	0	0	0
312	5	3641	0	0	0	0	0
313	5	3644	0	0	0	0	0
314	5	3651	0	0	0	0	0
315	5	3653	0	0	0	0	0
316	5	3656	0	0	0	0	0
317	5	3659	0	0	0	0	0
318	5	3677	0	0	0	0	0
319	5	3679	0	0	0	0	0
320	5	3696	0	0	0	0	0
321	5	3698	0	0	0	0	0
322	5	3701	0	0	0	0	0
323	5	3703	0	0	0	0	0
324	5	3722	0	0	0	0	0
325	5	3724	0	0	0	0	0
326	5	3727	0	0	0	0	0
327	5	3729	0	0	0	0	0
328	5	3731	0	0	0	0	0
329	5	3734	0	0	0	0	0
330	5	3754	0	0	0	0	0
331	5	3759	0	0	0	0	0
332	5	3771	0	0	0	0	0
333	5	3788	0	0	0	0	0
334	5	3791	0	0	0	0	0
335	5	3797	0	0	0	0	0
336	5	3799	0	0	0	0	0
337	5	3802	0	0	0	0	0
338	5	3808	0	0	0	0	0
339	5	3817	0	0	0	0	0
340	5	3823	0	0	0	0	0
341	5	3824	0	0	0	0	0
342	5	3826	0	0	0	0	0
343	5	3828	0	0	0	0	0
344	5	3837	0	0	0	0	0
345	5	3841	0	0	0	0	0
346	5	3843	0	0	0	0	0
347	5	3848	0	0	0	0	0
348	5	3853	0	0	0	0	0
349	5	3856	0	0	0	0	0
350	5	3861	0	0	0	0	0
351	5	3867	0	0	0	0	0
352	5	3871	0	0	0	0	0
353	5	3872	0	0	0	0	0
354	5	3874	0	0	0	0	0
355	5	3878	0	0	0	0	0
356	5	3883	0	0	0	0	0
357	5	3886	0	0	0	0	0
358	5	3887	0	0	0	0	0
359	5	3889	0	0	0	0	0
360	5	3892	0	0	0	0	0
361	5	3899	0	0	0	0	0
362	5	3902	0	0	0	0	0
363	5	3909	0	0	0	0	0
364	5	3913	0	0	0	0	0
365	5	3932	0	0	0	0	0
366	5	3939	0	0	0	0	0
367	5	3941	0	0	0	0	0
368	5	3944	0	0	0	0	0
369	5	3951	0	0	0	0	0
370	5	3956	0	0	0	0	0
